RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,BTS,3,DE,06SL,BT7,-9,-9,-9,734,36,2005,8,25,903,-9,30,D,55.6683,7.3793,55.6702,7.3228,40F7,-9,20,V,734,1,1,R,-9,T,-9,3549,75,-9,-9,-9,-9,-9,-9,-9,-9,-9,273,3.8,-9,-9,-9,-9,-9,248,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3549,-9,-9,7,-9,-9,O,-9,-9,0.024843,20212210
HH,BTS,3,DE,06SL,BT7,-9,-9,-9,704,6,2005,8,20,542,-9,30,N,55.6752,5.1867,55.6768,5.1367,40F5,-9,52,V,704,1,1,R,-9,T,-9,3140,200,-9,-9,-9,-9,-9,-9,-9,-9,-9,273,3.5,-9,-9,-9,-9,-9,271,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3140,-9,-9,7,-9,-9,O,-9,-9,0.02198,20212210
HH,BTS,3,DE,06SL,BT7,-9,-9,-9,739,41,2005,8,27,721,-9,30,D,55.6950,6.4868,55.6657,6.4937,40F6,-9,41,V,739,1,1,R,-9,T,-9,3290,175,-9,-9,-9,-9,-9,-9,-9,-9,-9,173,3.7,-9,-9,-9,-9,-9,232,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3290,-9,-9,7,-9,-9,O,-9,-9,0.02303,20212210
HH,BTS,3,DE,06SL,BT7,-9,-9,-9,705,7,2005,8,20,755,-9,30,D,55.7975,4.7583,55.7992,4.7063,40F4,-9,37,V,705,1,1,R,-9,T,-9,3255,175,-9,-9,-9,-9,-9,-9,-9,-9,-9,273,3.6,-9,-9,-9,-9,-9,179,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3255,-9,-9,7,-9,-9,O,-9,-9,0.022785,20212210
HH,BTS,3,DE,06SL,BT7,-9,-9,-9,733,35,2005,8,25,710,-9,30,D,55.8292,7.5783,55.8013,7.5948,40F7,-9,19,V,733,1,1,R,-9,T,-9,3262,75,-9,-9,-9,-9,-9,-9,-9,-9,-9,162,3.7,-9,-9,-9,-9,-9,255,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3262,-9,-9,7,-9,-9,O,-9,-9,0.022834,20212210
HH,BTS,3,GB,74RY,BT4A,-9,-9,-9,103,74,2006,8,3,701,-9,30,D,52.2610,1.7192,52.2942,1.7393,33F1,-9,20,V,-9,1,1,R,-9,FM,-9,-9,70,-9,-9,1,-9,1,-9,-9,-9,-9,22,-9,-9,-9,-9,-9,-9,-9,10,-9,0.5,19.5,19.6,33.88,33.87,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,39,-9,-9,4,-9,-9,-9,-9,-9,0.000155314,20212210
HH,BTS,3,GB,74RY,BT4A,-9,-9,-9,104,77,2006,8,4,409,-9,30,D,52.2947,1.7690,52.2588,1.756,33F1,-9,23,V,-9,1,1,R,-9,FM,-9,-9,85,-9,-9,-9,-9,-9,-9,-9,-9,-9,170,-9,-9,-9,-9,-9,-9,-9,18,-9,0.5,19.4,19.5,33.88,33.88,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,4,-9,-9,-9,-9,-9,0.000161307,20212210
HH,BTS,3,GB,74RY,BT4A,-9,-9,-9,105,75,2006,8,3,750,-9,30,D,52.3297,1.7283,52.3588,1.7572,33F1,-9,16,V,-9,1,1,R,-9,FM,-9,-9,56,-9,-9,-9,-9,-9,-9,-9,-9,-9,32,-9,-9,-9,-9,-9,-9,-9,19,-9,0.5,20,19.9,33.89,33.87,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,37,-9,-9,4,-9,-9,-9,-9,-9,0.000149315,20212210
HH,BTS,3,GB,74RY,BT4A,-9,-9,-9,18,47,2006,7,31,1153,-9,30,D,49.8903,0.4768,49.9085,0.5233,28F0,-9,30,V,-9,1,1,R,-9,FM,-9,-9,109,-9,-9,-9,-9,-9,-9,-9,-9,-9,56,-9,-9,270,-9,-9,-9,234,3,-9,0.2,19.4,19.5,33.93,33.99,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,38,-9,-9,4,-9,-9,-9,-9,-9,0.00015375,20212210
HH,BTS,3,GB,74RY,BT4A,-9,-9,-9,17,48,2006,7,31,1335,-9,25,D,49.9172,0.8092,49.9335,0.8445,28F0,-9,23,V,-9,1,1,R,-9,FM,-9,-9,85,-9,-9,-9,-9,-9,-9,-9,-9,-9,58,-9,-9,90,-9,-9,-9,225,4,-9,0.2,20.1,-9,33.81,33.81,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,31,-9,-9,4,-9,-9,-9,-9,-9,0.000122686,20212210
