RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,Month,Day,TimeShot,DepthStratum,HaulDur,DayNight,ShootLat,ShootLong,HaulLat,HaulLong,StatRec,ICESArea,Depth,HaulVal,HydroStNo,StdSpecRecCode,BySpecRecCode,DataType,Netopening,Rigging,Tickler,Distance,Warplngt,Warpdia,WarpDen,DoorSurface,DoorWgt,DoorSpread,WingSpread,Buoyancy,KiteDim,WgtGroundRope,TowDir,GroundSpeed,SpeedWater,SurCurDir,SurCurSpeed,BotCurDir,BotCurSpeed,WindDir,WindSpeed,SwellDir,SwellHeight,SurTemp,BotTemp,SurSal,BotSal,ThermoCline,ThClineDepth,CodendMesh,SecchiDepth,Turbidity,TidePhase,TideSpeed,PelSampType,MinTrawlDepth,MaxTrawlDepth,Cal_Distance,Cal_DoorSpread,Cal_WingSpread,BeamWidth,DSflag,WSflag,DistanceFlag,SweptAreaDSKM2,SweptAreaWSKM2,SweptAreaBWKM2,DateofCalculation
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,607_13,13,1987,9,29,1608,-9,15,D,53.5333,5.7000,-9,-9,36F5,-9,15,V,607_13,1,1,R,-9,-9,4,1667,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,45,4,-9,-9,15.4,-9,27.92,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1667,-9,-9,6,-9,-9,O,-9,-9,0.010002,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_04,4,1987,9,28,1824,-9,15,D,52.4666,4.0500,-9,-9,33F4,-9,20,V,630_04,1,1,R,-9,-9,4,1630,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,315,2,-9,-9,16.1,-9,27.85,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1630,-9,-9,6,-9,-9,O,-9,-9,0.00978,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_05,5,1987,9,28,1948,-9,15,N,52.4833,4.1166,-9,-9,33F4,-9,24,V,630_05,1,1,R,-9,-9,4,1593,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,315,2,-9,-9,16.2,-9,27.85,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1593,-9,-9,6,-9,-9,O,-9,-9,0.009558,20212210
HH,SNS,3,NL,64T1,BT6,-9,-9,-9,630_06,6,1987,9,28,2110,-9,15,N,52.5000,3.5500,-9,-9,33F3,-9,25,V,630_06,1,1,R,-9,-9,4,1611,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,315,2,-9,-9,16,-9,27.84,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1611,-9,-9,6,-9,-9,O,-9,-9,0.009666,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,630_01,1,1990,9,24,2100,-9,15,N,52.6166,4.4166,-9,-9,34F4,-9,24,V,630_01,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,248,15,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,607_02,2,1990,9,25,852,-9,15,D,53.4000,4.8000,-9,-9,35F4,-9,26,V,607_02,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,270,7,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,607_03,3,1990,9,25,1036,-9,15,D,53.4000,4.9666,-9,-9,35F4,-9,24,V,607_03,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,359,-9,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,607_04,4,1990,9,25,1105,-9,15,D,53.4500,5.1000,-9,-9,35F5,-9,25,V,607_04,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,315,4,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,607_05,5,1990,9,25,1440,-9,15,D,53.4666,5.2500,-9,-9,35F5,-9,21,V,607_05,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,338,4,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,607_06,6,1990,9,25,1555,-9,15,D,53.5000,5.4000,-9,-9,35F5,-9,19,V,607_06,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,7,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,601_30,30,1990,9,28,1527,-9,15,D,55.3666,8.1333,-9,-9,39F8,-9,14,V,601_30,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,248,15,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,601_25,25,1990,9,28,849,-9,15,D,55.3833,7.1000,-9,-9,39F7,-9,30,V,601_25,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,293,9,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,601_26,26,1990,9,28,950,-9,15,D,55.3833,7.2500,-9,-9,39F7,-9,27,V,601_26,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,293,12,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
HH,SNS,3,NL,64T2,BT6,-9,-9,-9,601_27,27,1990,9,28,1108,-9,15,D,55.4000,7.4833,-9,-9,39F7,-9,26,V,601_27,1,1,R,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,270,12,-9,-9,-9,-9,-9,-9,-9,-9,40,-9,-9,-9,-9,-9,-9,-9,1852,-9,-9,6,-9,-9,-9,-9,-9,0.011112,20212210
